date,year,value
1750-12-31,1750,9.306
1751-12-31,1751,9.407
1752-12-31,1752,9.505
1753-12-31,1753,9.61
1754-12-31,1754,9.734
1755-12-31,1755,9.793
1756-12-31,1756,9.91
1757-12-31,1757,10.094
1758-12-31,1758,10.216
1759-12-31,1759,10.339
1760-12-31,1760,10.514
1761-12-31,1761,10.748
1762-12-31,1762,10.952
1763-12-31,1763,11.192
1764-12-31,1764,11.397
1765-12-31,1765,11.643
1766-12-31,1766,11.876
1767-12-31,1767,12.153
1768-12-31,1768,12.467
1769-12-31,1769,12.78
1770-12-31,1770,13.097
1771-12-31,1771,13.369
1772-12-31,1772,13.624
1773-12-31,1773,13.808
1774-12-31,1774,14.012
1775-12-31,1775,14.339
1776-12-31,1776,14.654
1777-12-31,1777,14.96
1778-12-31,1778,15.243
1779-12-31,1779,15.535
1780-12-31,1780,15.879
1781-12-31,1781,16.234
1782-12-31,1782,16.581
1783-12-31,1783,17.063
1784-12-31,1784,17.471
1785-12-31,1785,17.965
1786-12-31,1786,18.447
1787-12-31,1787,18.859
1788-12-31,1788,19.286
1789-12-31,1789,19.863
1790-12-31,1790,20.398
1791-12-31,1791,20.932
1792-12-31,1792,21.929
1793-12-31,1793,22.297
1794-12-31,1794,22.52
1795-12-31,1795,22.315
1796-12-31,1796,22.121
1797-12-31,1797,22.09
1798-12-31,1798,23.106
1799-12-31,1799,27.485
1800-12-31,1800,32.798
1801-12-31,1801,31.986
1802-12-31,1802,40.31
1803-12-31,1803,29.539
1804-12-31,1804,31.769
1805-12-31,1805,31.252
1806-12-31,1806,32.705
1807-12-31,1807,36.201
1808-12-31,1808,35.498
1809-12-31,1809,36.334
1810-12-31,1810,39.492
1811-12-31,1811,40.177
1812-12-31,1812,40.815
1813-12-31,1813,41.206
1814-12-31,1814,42.227
1815-12-31,1815,43.587
1816-12-31,1816,45.497
1817-12-31,1817,49.276
1818-12-31,1818,51.392
1819-12-31,1819,50.93
1820-12-31,1820,50.733
1821-12-31,1821,52.059
1822-12-31,1822,54.022
1823-12-31,1823,56.358
1824-12-31,1824,57.584
1825-12-31,1825,60.731
1826-12-31,1826,61.382
1827-12-31,1827,65.739
1828-12-31,1828,66.682
1829-12-31,1829,66.307
1830-12-31,1830,88.988
1831-12-31,1831,83.251
1832-12-31,1832,82.092
1833-12-31,1833,83.249
1834-12-31,1834,88.763
1835-12-31,1835,97.4
1836-12-31,1836,106.894
1837-12-31,1837,106.199
1838-12-31,1838,105.845
1839-12-31,1839,109.653
1840-12-31,1840,118.809
1841-12-31,1841,122.166
1842-12-31,1842,129.389
1843-12-31,1843,132.369
